NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,산업통상자원부,(유)에스케이씨에보닉페록사이드코리아,울산광역시,2018,사업장,석유화학,"58,372",tCO₂eq,-,-,"1,191",TJ,-,-,(재)한국품질재단,-
2,국토교통부,(유)호남고속,전라북도,2018,사업장,교통(여객),"25,429",tCO₂eq,-,-,393,TJ,-,-,(주)한국경영인증원,-
3,국토교통부,(주)HJ매그놀리아용평호텔앤리조트,강원도,2018,사업장,건물,"32,776",tCO₂eq,-,-,649,TJ,-,-,(재)한국품질재단,-
4,산업통상자원부,(주)HM금속,경상남도,2018,사업장,철강,"34,262",tCO₂eq,-,-,600,TJ,-,-,한국표준협회,-
5,농림축산식품부,(주)MH에탄올,경상남도,2018,사업장,음료제조업,"23,436",tCO₂eq,-,-,292,TJ,-,-,(재)한국화학융합시험연구원,-
6,농림축산식품부,(주)MSC,경상남도,2018,사업장,음식료품,"26,317",tCO₂eq,-,-,525,TJ,-,-,한국산업기술시험원,-
7,산업통상자원부,(주)SIMPAC,인천광역시,2018,업체,산업,"458,521",tCO₂eq,170.54,tCO2eq/억원,"4,998",TJ,1.86,TJ/억원,한국표준협회,"268,863,854,000"
8,국토교통부,(주)강원랜드,강원도,2018,사업장,건물,"76,114",tCO₂eq,-,-,"1,534",TJ,-,-,한국표준협회,-
9,산업통상자원부,(주)건화,경상남도,2018,사업장,조선,"22,213",tCO₂eq,-,-,410,TJ,-,-,한국표준협회,-
10,국토교통부,(주)경기고속,경기도,2018,업체,교통(여객),"172,083",tCO₂eq,61.43,tCO2eq/억원,"2,644",TJ,0.94,TJ/억원,산림조합중앙회,"280,130,669,128"
11,국토교통부,(주)경남고속,부산광역시,2018,사업장,교통(여객),"26,354",tCO₂eq,-,-,372,TJ,-,-,(주)한국경영인증원,-
12,산업통상자원부,(주)경동,강원도,2018,업체,광업,"220,210",tCO₂eq,219.17,tCO2eq/억원,401,TJ,0.4,TJ/억원,(재)한국품질재단,"100,474,019,631"
13,산업통상자원부,(주)경방,서울특별시,2018,업체,섬유,"52,875",tCO₂eq,18.95,tCO2eq/억원,"1,074",TJ,0.38,TJ/억원,한국생산성본부인증원(주),"279,085,217,000"
14,산업통상자원부,(주)경신전선,충청남도,2018,사업장,반도체.디스플레이.전기전자,"15,929",tCO₂eq,-,-,325,TJ,-,-,한국표준협회,-
15,국토교통부,(주)공항리무진,서울특별시,2018,사업장,교통(여객),"31,011",tCO₂eq,-,-,440,TJ,-,-,(주)한국경영인증원,-
16,국토교통부,(주)국민은행,서울특별시,2018,업체,건물,"109,269",tCO₂eq,0.62,tCO2eq/억원,"1,623",TJ,0.01,TJ/억원,한국표준협회,"17,567,958,000,000"
17,산업통상자원부,(주)국일방적 정읍공장,전라북도,2018,사업장,섬유,"13,807",tCO₂eq,-,-,283,TJ,-,-,대일이엔씨기술(주),-
18,농림축산식품부,(주)그린바이텍,전라북도,2018,사업장,음식료품,"4,719",tCO₂eq,-,-,248,TJ,-,-,(재)한국품질재단,-
19,환경부,(주)그린스코,인천광역시,2018,사업장,폐기물,"53,126",tCO₂eq,-,-,102,TJ,-,-,(주)한국경영인증원,-
20,국토교통부,(주)금남고속,대전광역시,2018,사업장,교통(여객),"38,506",tCO₂eq,-,-,545,TJ,-,-,(주)한국경영인증원,-
21,산업통상자원부,(주)금비,경기도,2018,사업장,유리,"80,531",tCO₂eq,-,-,"1,176",TJ,-,-,한국표준협회,-
22,해양수산부,(주)남해고속,전라남도,2018,사업장,교통(해운),"20,104",tCO₂eq,-,-,285,TJ,-,-,㈜한국품질보증원,-
23,산업통상자원부,(주)네오오토 예산공장,충청남도,2018,사업장,자동차,"17,510",tCO₂eq,-,-,357,TJ,-,-,(주)한국경영인증원,-
24,산업통상자원부,(주)넥센,경상남도,2018,사업장,석유화학,"20,483",tCO₂eq,-,-,371,TJ,-,-,한국표준협회,-
25,국토교통부,(주)농협물류,서울특별시,2018,사업장,교통(화물),"29,701",tCO₂eq,-,-,421,TJ,-,-,티유브이슈드코리아㈜,-
26,농림축산식품부,(주)농협사료,서울특별시,2018,업체,식료품 제조업,"82,044",tCO₂eq,6.86,tCO2eq/억원,"1,647",TJ,0.14,TJ/억원,(재)한국품질재단,"1,196,669,138,021"
27,산업통상자원부,(주)단석산업 군산지점,전라북도,2018,사업장,비철금속,"51,075",tCO₂eq,-,-,795,TJ,-,-,한국표준협회,-
28,산업통상자원부,(주)대농 청원공장,충청북도,2018,사업장,섬유,"17,257",tCO₂eq,-,-,355,TJ,-,-,지속가능인증원주식회사,-
29,산업통상자원부,(주)대동세라믹,세종특별자치시,2018,사업장,유리 · 요업,"22,239",tCO₂eq,-,-,431,TJ,-,-,이큐에이㈜,-
30,산업통상자원부,(주)대림제지,경기도,2018,사업장,제지,"81,997",tCO₂eq,-,-,"1,205",TJ,-,-,이큐에이㈜,-
31,국토교통부,(주)대명티피앤이,강원도,2018,사업장,건물,"14,926",tCO₂eq,-,-,301,TJ,-,-,한국표준협회,-
32,국토교통부,(주)대명호텔앤리조트,-,2018,사업장,건물,"43,796",tCO₂eq,-,-,878,TJ,-,-,한국표준협회,-
33,산업통상자원부,(주)대승프론티어,충청남도,2018,사업장,유리 · 요업,"22,003",tCO₂eq,-,-,412,TJ,-,-,한국표준협회,-
34,국토교통부,(주)대우건설,서울특별시,2018,업체,건설,"70,715",tCO₂eq,0.69,tCO2eq/억원,"1,421",TJ,0.01,TJ/억원,한국표준협회,"10,204,674,621,000"
35,산업통상자원부,(주)대우전자 광주공장,광주광역시,2018,사업장,기계,"10,962",tCO₂eq,-,-,221,TJ,-,-,이큐에이㈜,-
36,산업통상자원부,(주)대욱케스트,경상북도,2018,사업장,철강,"22,420",tCO₂eq,-,-,406,TJ,-,-,이큐에이㈜,-
37,국토교통부,(주)대원고속,경기도,2018,업체,교통(여객),"157,014",tCO₂eq,62.92,tCO2eq/억원,"2,413",TJ,0.97,TJ/억원,산림조합중앙회,"249,552,728,975"
38,국토교통부,(주)대원버스,경기도,2018,사업장,교통(여객),"31,943",tCO₂eq,-,-,546,TJ,-,-,산림조합중앙회,-
39,국토교통부,(주)대원여객,서울특별시,2018,사업장,교통(여객),"21,540",tCO₂eq,-,-,406,TJ,-,-,산림조합중앙회,-
40,국토교통부,(주)대원운수,경기도,2018,사업장,교통(여객),"36,862",tCO₂eq,-,-,621,TJ,-,-,산림조합중앙회,-
41,산업통상자원부,(주)대유코아,서울특별시,2018,사업장,시멘트,"45,198",tCO₂eq,-,-,97,TJ,-,-,한국생산성본부인증원(주),-
42,해양수산부,(주)대저해운,경상북도,2018,사업장,교통(해운),"17,494",tCO₂eq,-,-,250,TJ,-,-,한국표준협회,-
43,산업통상자원부,(주)대천텍스타일,경기도,2018,사업장,섬유,"17,336",tCO₂eq,-,-,322,TJ,-,-,한국표준협회,-
44,산업통상자원부,(주)대호피앤씨 포항공장,경상남도,2018,사업장,철강,"25,095",tCO₂eq,-,-,492,TJ,-,-,한국표준협회,-
45,산업통상자원부,(주)대화제지,경기도,2018,사업장,제지,"27,756",tCO₂eq,-,-,557,TJ,-,-,㈜한국품질보증원,-
46,산업통상자원부,(주)동남 서산공장,충청남도,2018,사업장,비철금속,"14,877",tCO₂eq,-,-,220,TJ,-,-,한국표준협회,-
47,산업통상자원부,(주)동남 울산공장,울산광역시,2018,사업장,비철금속,"21,922",tCO₂eq,-,-,317,TJ,-,-,한국표준협회,-
48,국토교통부,(주)동방,서울,2018,업체,교통(화물),"43,081",tCO₂eq,9.08,tCO2eq/억원,619,TJ,0.13,TJ/억원,대일이엔씨기술(주),"474,418,754,000"
49,국토교통부,(주)동부익스프레스,서울특별시,2018,업체,교통(여객),"48,524",tCO₂eq,8.74,tCO2eq/억원,714,TJ,0.13,TJ/억원,한국표준협회,"555,417,810,092"
50,산업통상자원부,(주)동서기공 당진지점,경기도,2018,사업장,자동차,"25,409",tCO₂eq,-,-,518,TJ,-,-,한국표준협회,-
51,산업통상자원부,(주)동서기공 시흥,경기도,2018,사업장,비철금속,"16,515",tCO₂eq,-,-,332,TJ,-,-,한국표준협회,-
52,산업통상자원부,(주)동신포리마,충청남도,2018,사업장,석유화학,"28,376",tCO₂eq,-,-,571,TJ,-,-,(주)한국경영인증원,-
53,국토교통부,(주)동양고속,경기도,2018,업체,교통(여객),"68,869",tCO₂eq,52.09,tCO2eq/억원,981,TJ,0.74,TJ/억원,(주)한국경영인증원,"132,213,672,000"
54,산업통상자원부,(주)동양이앤씨,경상북도,2018,사업장,기계,"18,183",tCO₂eq,-,-,357,TJ,-,-,(주)비에스아이그룹코리아,-
