NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
610,국토교통부,양산부산대학교병원,경상남도,2019,사업장,건물,"20,502",tCO₂eq,-,-,418,TJ,-,-,한국산업기술시험원,-
611,환경부,양산시,경상남도,2019,사업장,폐기물,"122,666",tCO₂eq,-,-,831,TJ,-,-,(재)한국품질재단,-
612,환경부,양주시,경기도,2019,사업장,폐기물,"72,830",tCO₂eq,-,-,735,TJ,-,-,㈜한국품질보증원,-
613,환경부,에너원(주),전라북도,2019,사업장,산업단지,"38,033",tCO₂eq,-,-,436,TJ,-,-,(주)한국경영인증원,-
614,환경부,에스에스엘엠 주식회사,대구광역시,2019,사업장,반도체,"24,277",tCO₂eq,-,-,491,TJ,-,-,한국표준협회,-
780,환경부,주식회사 에쓰큐씨,-,2019,사업장,산업,"134,801",tCO₂eq,-,-,884,TJ,-,-,(주)신화엔지니어링종합건축사사무소,-
616,산업통상자원부,에스케이가스(주),울산광역시,2019,사업장,발전에너지,"25,790",tCO₂eq,-,-,437,TJ,-,-,(재)한국품질재단,-
800,환경부,주식회사 케이씨씨글라스,-,2019,업체,유리,"752,079",tCO₂eq,-,-,"8,750",TJ,-,-,(재)한국품질재단,-
618,환경부,에스케이루브리컨츠 주식회사,서울특별시,2019,업체,정유,"178,311",tCO₂eq,12.37,tCO2eq/억원,"5,622",TJ,0.39,TJ/억원,한국표준협회,"1,441,201,705,000"
619,환경부,에스케이머티리얼즈 주식회사,경상북도,2019,업체,석유화학,"246,868",tCO₂eq,54.3,tCO2eq/억원,"5,053",TJ,1.11,TJ/억원,한국가스안전공사,"454,649,037,000"
620,환경부,에스케이실트론 주식회사,경상북도,2019,업체,반도체,"357,560",tCO₂eq,23.2,tCO2eq/억원,"7,363",TJ,0.48,TJ/억원,로이드인증원㈜,"1,541,537,626,000"
621,환경부,에스케이씨 주식회사,경기도,2019,업체,석유화학,"761,517",tCO₂eq,61.92,tCO2eq/억원,"13,475",TJ,1.1,TJ/억원,한국표준협회,"1,229,900,590,000"
622,산업통상자원부,에스케이씨솔믹스주식회사,경기도,2019,사업장,반도체.디스플레이.전기전자,"10,849",tCO₂eq,-,-,222,TJ,-,-,한국표준협회,-
883,환경부,통영시 환경자원화센터,경상남도,2019,사업장,폐기물,"32,869",tCO₂eq,-,-,179,TJ,-,-,(재)한국품질재단,-
624,환경부,에스케이씨하이테크앤마케팅(주),충청남도,2019,사업장,석유화학,"32,899",tCO₂eq,-,-,585,TJ,-,-,(재)한국품질재단,-
903,환경부,프렉스에어코리아 주식회사,서울특별시,2019,업체,석유화학,"635,596",tCO₂eq,106.37,tCO2eq/억원,"13,069",TJ,2.19,TJ/억원,(재)한국품질재단,"597,553,848,005"
626,산업통상자원부,에스케이어드밴스드주식회사,울산광역시,2019,업체,석유화학,"781,894",tCO₂eq,100.14,tCO2eq/억원,"13,073",TJ,1.67,TJ/억원,한국표준협회,"780,772,615,908"
627,환경부,에스케이에너지 주식회사,서울특별시,2019,업체,정유,"7,248,678",tCO₂eq,22.47,tCO2eq/억원,"80,503",TJ,0.25,TJ/억원,한국표준협회,"32,253,827,526,000"
905,환경부,하남시 환경기초시설,경기도,2019,사업장,폐기물,"28,536",tCO₂eq,-,-,415,TJ,-,-,(재)한국품질재단,-
629,환경부,에스케이이엔에스 주식회사,서울특별시,2019,업체,발전 · 에너지,"2,880,322",tCO₂eq,353.51,tCO2eq/억원,"57,768",TJ,7.09,TJ/억원,(주)한국경영인증원,"814,768,088,761"
630,환경부,에스케이종합화학 주식회사,서울특별시,2019,업체,석유화학,"3,207,910",tCO₂eq,32.42,tCO2eq/억원,"60,319",TJ,0.61,TJ/억원,한국표준협회,"9,894,987,657,000"
631,환경부,에스케이케미칼(주),경기도,2019,업체,석유화학,"508,742",tCO₂eq,58.48,tCO2eq/억원,"7,807",TJ,0.9,TJ/억원,(주)비에스아이그룹코리아,"869,939,186,000"
632,환경부,에스케이텔레콤 주식회사,서울특별시,2019,업체,통신,"1,005,576",tCO₂eq,8.8,tCO2eq/억원,"20,664",TJ,0.18,TJ/억원,㈜디엔브이지엘비즈니스어슈어런스코리아,"11,421,342,000,000"
633,환경부,에스케이하이닉스 시스템아이씨(주),충청북도,2019,업체,반도체,"286,940",tCO₂eq,43.38,tCO2eq/억원,"4,402",TJ,0.67,TJ/억원,(주)비에스아이그룹코리아,"661,510,786,151"
634,환경부,에스케이하이닉스 주식회사,경기도,2019,업체,반도체,"4,261,189",tCO₂eq,16.83,tCO2eq/억원,"77,497",TJ,0.31,TJ/억원,(주)비에스아이그룹코리아,"25,320,755,000,000"
635,환경부,에스폼(주),경기도,2019,사업장,산업,"32,848",tCO₂eq,-,-,586,TJ,-,-,한국표준협회,-
636,환경부,에스피엘(주),경기도,2019,사업장,음식료품,"27,207",tCO₂eq,-,-,618,TJ,-,-,(주)비에스아이그룹코리아,-
637,환경부,에어리퀴드코리아 주식회사,서울특별시,2019,업체,석유화학,"207,229",tCO₂eq,73.67,tCO2eq/억원,"2,776",TJ,0.99,TJ/억원,로이드인증원㈜,"281,295,986,680"
638,환경부,에어부산(주),부산광역시,2019,업체,항공,"209,317",tCO₂eq,33.06,tCO2eq/억원,"3,003",TJ,0.47,TJ/억원,한국표준협회,"633,183,493,000"
639,환경부,에어프로덕츠코리아 주식회사,경기도,2019,업체,석유화학,"832,324",tCO₂eq,140.85,tCO2eq/억원,"17,027",TJ,2.88,TJ/억원,로이드인증원㈜,"590,948,107,000"
640,환경부,에이에스이코리아주식회사,경기도,2019,사업장,반도체,"89,450",tCO₂eq,-,-,"1,825",TJ,-,-,(재)한국품질재단,-
641,산업통상자원부,에이지씨디스플레이글라스 오창 주식회사,충청북도,2019,사업장,유리 · 요업,"16,878",tCO₂eq,-,-,347,TJ,-,-,㈜디엔브이지엘비즈니스어슈어런스코리아,-
642,환경부,에이지씨화인테크노한국주식회사,경상북도,2019,업체,유리,"251,149",tCO₂eq,67.32,tCO2eq/억원,"4,876",TJ,1.31,TJ/억원,㈜디엔브이지엘비즈니스어슈어런스코리아,"373,056,059,888"
643,국토교통부,에이치디씨아이파크몰 주식회사,서울특별시,2019,사업장,건물,"19,531",tCO₂eq,-,-,400,TJ,-,-,(재)한국화학융합시험연구원,-
644,산업통상자원부,에이치디씨현대이피 주식회사,울산광역시,2019,사업장,석유화학,"23,762",tCO₂eq,-,-,454,TJ,-,-,한국표준협회,-
645,산업통상자원부,에코플라스틱(주) 1공장,경상북도,2019,사업장,자동차,"18,278",tCO₂eq,-,-,372,TJ,-,-,(재)한국품질재단,-
646,산업통상자원부,엘앤에프,대구광역시,2019,사업장,반도체.디스플레이.전기전자,"26,641",tCO₂eq,-,-,520,TJ,-,-,(재)한국품질재단,-
647,환경부,엘에스니꼬 동제련 주식회사,울산광역시,2019,업체,비철금속,"516,024",tCO₂eq,6.75,tCO2eq/억원,"8,369",TJ,0.11,TJ/억원,한국표준협회,"7,642,856,610,554"
648,환경부,엘에스메탈 주식회사,서울특별시,2019,사업장,비철금속,"24,365",tCO₂eq,-,-,498,TJ,-,-,(주)한국경영인증원,-
649,산업통상자원부,엘에스일렉트릭(주) 청주사업장,충청북도,2019,사업장,반도체.디스플레이.전기전자,"22,284",tCO₂eq,-,-,455,TJ,-,-,(주)한국경영인증원,-
650,환경부,엘에스전선 주식회사,경기도,2019,업체,전기전자,"125,309",tCO₂eq,3.86,tCO2eq/억원,"2,480",TJ,0.08,TJ/억원,㈜한국품질보증원,"3,242,768,000,000"
651,환경부,엘지디스플레이(주),서울특별시,2019,업체,디스플레이,"5,885,435",tCO₂eq,27.17,tCO2eq/억원,"62,776",TJ,0.29,TJ/억원,(재)한국품질재단,"21,658,329,000,000"
652,환경부,엘지유플러스(주),서울특별시,2019,업체,통신,"1,098,879",tCO₂eq,8.91,tCO2eq/억원,"22,621",TJ,0.18,TJ/억원,한국표준협회,"12,337,746,000,000"
653,환경부,엘지이노텍 주식회사,서울특별시,2019,업체,전기전자,"316,552",tCO₂eq,4.07,tCO2eq/억원,"6,378",TJ,0.08,TJ/억원,(주)비에스아이그룹코리아,"7,785,053,515,000"
654,환경부,엘지전자 주식회사,서울특별시,2019,업체,전기전자,"685,017",tCO₂eq,2.39,tCO2eq/억원,"9,030",TJ,0.03,TJ/억원,㈜디엔브이지엘비즈니스어슈어런스코리아,"28,654,467,000,000"
655,환경부,엠이엠씨코리아주식회사,충청남도,2019,사업장,반도체,"69,699",tCO₂eq,-,-,"1,432",TJ,-,-,(주)신화엔지니어링종합건축사사무소,-
656,환경부,여수시,전라남도,2019,업체,지정외 폐기물처리업 등,"80,498",tCO₂eq,-,-,699,TJ,-,-,한국산업기술시험원,-
657,환경부,여천엔씨씨 주식회사,서울특별시,2019,업체,석유화학,"3,652,762",tCO₂eq,72.96,tCO2eq/억원,"71,795",TJ,1.43,TJ/억원,(재)한국품질재단,"5,006,424,987,880"
658,국토교통부,영남대학교,경상북도,2019,사업장,건물,"17,915",tCO₂eq,-,-,362,TJ,-,-,㈜한국품질보증원,-
659,산업통상자원부,영보화학(주),충청북도,2019,사업장,석유화학,"15,894",tCO₂eq,-,-,301,TJ,-,-,(주)한국경영인증원,-
660,산업통상자원부,영신금속공업(주),경기도,2019,사업장,기계,"17,076",tCO₂eq,-,-,347,TJ,-,-,(재)한국품질재단,-
661,환경부,영진글로벌 주식회사,충청남도,2019,사업장,산업,"22,603",tCO₂eq,-,-,457,TJ,-,-,한국표준협회,-
662,국토교통부,영특수츄레라(주),서울특별시,2019,사업장,교통(화물),"11,412",tCO₂eq,-,-,161,TJ,-,-,대일이엔씨기술(주),-
663,환경부,영풍전자(주),경기,2019,사업장,전기전자,"104,533",tCO₂eq,-,-,"1,974",TJ,-,-,이큐에이㈜,-
664,환경부,영풍제지(주),경기도,2019,사업장,제지,"119,178",tCO₂eq,-,-,"1,105",TJ,-,-,한국표준협회,-
665,환경부,영화금속(주),경상남도,2019,사업장,철강,"104,363",tCO₂eq,-,-,"1,528",TJ,-,-,한국표준협회,-
666,산업통상자원부,영흥철강(주),경상남도,2019,사업장,철강,"13,174",tCO₂eq,-,-,291,TJ,-,-,한국표준협회,-
667,환경부,오뚜기라면(주),경기도,2019,사업장,음식료품,"52,276",tCO₂eq,-,-,"1,045",TJ,-,-,(주)비에스아이그룹코리아,-
668,환경부,오리온엔지니어드카본즈 주식회사,전라남도,2019,업체,석유화학,"474,700",tCO₂eq,156.86,tCO2eq/억원,"6,520",TJ,2.15,TJ/억원,㈜디엔브이지엘비즈니스어슈어런스코리아,"302,629,895,274"
669,환경부,오비맥주(주),서울특별시,2019,업체,음식료품,"103,387",tCO₂eq,6.7,tCO2eq/억원,"2,070",TJ,0.13,TJ/억원,이큐에이㈜,"1,542,126,174,946"
670,환경부,오산시 환경사업소,경기도,2019,사업장,하수처리업,"18,819",tCO₂eq,-,-,262,TJ,-,-,㈜한국품질보증원,-
671,환경부,오씨아이 주식회사,서울특별시,2019,업체,석유화학,"2,136,152",tCO₂eq,120.92,tCO2eq/억원,"37,670",TJ,2.13,TJ/억원,㈜디엔브이지엘비즈니스어슈어런스코리아,"1,766,574,982,000"
672,농림축산식품부,오케이에프음료(주),경상북도,2019,사업장,음료제조업,"16,542",tCO₂eq,-,-,292,TJ,-,-,한국표준협회,-
