NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,산업통상자원부,(유)에스케이씨에보닉페록사이드코리아,울산광역시,2017,사업장,석유화학,"52,368",tCO₂eq,-,-,"1,123",TJ,-,-,(재)한국품질재단,-
2,국토교통부,(유)호남고속,전라북도,2017,사업장,교통,"24,726",tCO₂eq,-,-,381,TJ,-,-,(주)한국경영인증원,-
3,산업통상자원부,(주)HM금속,경상남도,2017,사업장,광업,"30,616",tCO₂eq,-,-,534,TJ,-,-,한국표준협회,-
4,농림축산식품부,(주)MH에탄올,경상남도,2017,사업장,음식료품 · 제조업,"23,319",tCO₂eq,-,-,287,TJ,-,-,(재)한국화학융합시험연구원,-
5,농림축산식품부,(주)MSC,경상남도,2017,사업장,음식료품 · 제조업,"25,355",tCO₂eq,-,-,506,TJ,-,-,한국산업기술시험원,-
6,산업통상자원부,(주)SIMPAC METAL,경상북도,2017,업체,광업,"407,757",tCO₂eq,177.87,tCO2eq/억원,"4,430",TJ,1.93,TJ/억원,한국표준협회,"229,245,382,265"
7,산업통상자원부,(주)SPP조선,경남,2017,사업장,조선,"3,396",tCO₂eq,-,-,56,TJ,-,-,㈜디엔브이지엘비즈니스어슈어런스코리아,-
8,국토교통부,(주)강원랜드,강원도,2017,사업장,건물,"71,158",tCO₂eq,-,-,"1,438",TJ,-,-,한국표준협회,-
9,산업통상자원부,(주)건화,경상남도,2017,사업장,조선,"25,198",tCO₂eq,-,-,437,TJ,-,-,한국표준협회,-
10,국토교통부,(주)경기고속,경기도,2017,업체,교통,"178,260",tCO₂eq,62.19,tCO2eq/억원,"2,738",TJ,0.96,TJ/억원,산림조합중앙회,"286,641,971,000"
11,국토교통부,(주)경남고속,부산광역시,2017,사업장,교통,"26,233",tCO₂eq,-,-,371,TJ,-,-,(주)한국경영인증원,-
12,산업통상자원부,(주)경동,강원도,2017,업체,광업,"217,844",tCO₂eq,228.69,tCO2eq/억원,387,TJ,0.41,TJ/억원,(재)한국품질재단,"95,256,928,000"
13,산업통상자원부,(주)경방,서울특별시,2017,업체,석유화학,"59,533",tCO₂eq,20.66,tCO2eq/억원,"1,208",TJ,0.42,TJ/억원,한국생산성본부인증원(주),"288,103,985,000"
14,산업통상자원부,(주)경신전선,충청남도,2017,사업장,반도체.디스플레이.전기전자,"15,435",tCO₂eq,-,-,315,TJ,-,-,한국표준협회,-
15,국토교통부,(주)국민은행,서울특별시,2017,업체,건물,"110,995",tCO₂eq,0.68,tCO2eq/억원,"1,670",TJ,0.01,TJ/억원,한국표준협회,"16,236,933,000,000"
16,산업통상자원부,(주)국일방적 정읍공장,전라북도,2017,사업장,석유화학,"22,632",tCO₂eq,-,-,465,TJ,-,-,대일이엔씨기술(주),-
17,농림축산식품부,(주)그린바이텍,전라북도,2017,사업장,음식료품 · 제조업,"4,990",tCO₂eq,-,-,238,TJ,-,-,(재)한국품질재단,-
18,환경부,(주)그린스코,인천광역시,2017,사업장,발전 · 에너지,"53,327",tCO₂eq,-,-,117,TJ,-,-,(주)한국경영인증원,-
19,국토교통부,(주)금남고속,대전광역시,2017,사업장,교통,"37,352",tCO₂eq,-,-,529,TJ,-,-,(주)한국경영인증원,-
20,산업통상자원부,(주)금비,경기도,2017,사업장,유리 · 요업,"77,150",tCO₂eq,-,-,"1,094",TJ,-,-,한국표준협회,-
21,해양수산부,(주)남해고속,전라남도,2017,사업장,교통,"18,238",tCO₂eq,-,-,259,TJ,-,-,㈜한국품질보증원,-
22,산업통상자원부,(주)네오오토 예산공장,충청남도,2017,사업장,반도체.디스플레이.전기전자,"17,833",tCO₂eq,-,-,364,TJ,-,-,(주)한국경영인증원,-
