NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,국토교통부,(유)호남고속,전라북도,2020,사업장,교통,"21,850",tCO₂eq,-,-,341,TJ,-,-,(주)한국경영인증원,-
2,국토교통부,(주)경기고속,경기도,2020,업체,교통,"109,380",tCO₂eq,60,tCO₂eq/억원,1727,TJ,0.945353055,TJ/억원,산림조합중앙회,"182,683,071,861"
3,국토교통부,(주)경남고속,부산광역시,2020,사업장,교통,"14,747",tCO₂eq,-,-,208,TJ,-,-,(주)한국경영인증원,-
4,국토교통부,(주)공항리무진,서울특별시,2020,사업장,교통,"6,755",tCO₂eq,-,-,96,TJ,-,-,(주)한국경영인증원,-
5,국토교통부,(주)국민은행,서울특별시,2020,업체,건물,"111,653",tCO₂eq,0,tCO₂eq/억원,1697,TJ,0.007230472,TJ/억원,한국표준협회,"23,470,113,000,000"
6,국토교통부,(주)금남고속,대전광역시,2020,사업장,교통,"19,848",tCO₂eq,-,-,282,TJ,-,-,(주)한국경영인증원,-
7,국토교통부,(주)농협물류,서울특별시,2020,사업장,교통,"30,429",tCO₂eq,-,-,437,TJ,-,-,한국표준협회,-
8,국토교통부,(주)대명티피앤이,강원도,2020,사업장,건물,"9,465",tCO₂eq,-,-,188,TJ,-,-,(주)한국경영인증원,-
9,국토교통부,(주)대우건설,서울특별시,2020,업체,건물,"58,969",tCO₂eq,1,tCO₂eq/억원,1174,TJ,0.015372013,TJ/억원,(주)비에스아이그룹코리아,"7,637,255,920,891"
10,국토교통부,(주)대원고속,경기도,2020,업체,교통,"115,574",tCO₂eq,62,tCO₂eq/억원,1822,TJ,0.972720462,TJ/억원,산림조합중앙회,"187,309,722,609"
11,국토교통부,(주)대원버스,경기도,2020,사업장,교통,"28,153",tCO₂eq,-,-,477,TJ,-,-,산림조합중앙회,-
12,국토교통부,(주)대원여객,서울특별시,2020,사업장,교통,"21,099",tCO₂eq,-,-,399,TJ,-,-,산림조합중앙회,-
13,국토교통부,(주)대원운수,서울특별시,2020,사업장,교통,"35,681",tCO₂eq,-,-,595,TJ,-,-,산림조합중앙회,-
14,국토교통부,(주)동방,서울특별시,2020,업체,교통,"43,317",tCO₂eq,8,tCO₂eq/억원,625,TJ,0.112594676,TJ/억원,대일이엔씨기술(주),"555,088,410,696"
15,국토교통부,(주)동양고속,경기도,2020,업체,교통,"51,023",tCO₂eq,61,tCO₂eq/억원,726,TJ,0.870514176,TJ/억원,(주)한국경영인증원,"83,398,986,443"
16,국토교통부,(주)무주덕유산리조트,전라북도,2020,사업장,건물,"18,237",tCO₂eq,-,-,328,TJ,-,-,(주)한국경영인증원,-
17,국토교통부,(주)부산롯데호텔,부산광역시,2020,사업장,건물,"10,010",tCO₂eq,-,-,203,TJ,-,-,(주)한국경영인증원,-
18,국토교통부,(주)삼우에프앤지,경기도,2020,사업장,교통,"19,103",tCO₂eq,-,-,307,TJ,-,-,한국표준협회,-
19,국토교통부,(주)삼화고속,인천광역시,2020,사업장,교통,"12,121",tCO₂eq,-,-,172,TJ,-,-,(주)한국경영인증원,-
20,국토교통부,(주)선진운수,서울특별시,2020,사업장,교통,"27,228",tCO₂eq,-,-,509,TJ,-,-,(재)한국품질재단,-
21,국토교통부,(주)세아엘앤에스,경상북도,2020,사업장,교통,"15,637",tCO₂eq,-,-,228,TJ,-,-,한국표준협회,-
22,국토교통부,(주)시흥교통,경기도,2020,사업장,교통,"25,508",tCO₂eq,-,-,455,TJ,-,-,한국표준협회,-
23,국토교통부,(주)신한은행,서울특별시,2020,업체,건물,"71,819",tCO₂eq,0,tCO₂eq/억원,1109,TJ,0.004658457,TJ/억원,㈜디엔브이비즈니스어슈어런스코리아,"23,806,167,000,000"
24,국토교통부,(주)아라리오,충청남도,2020,사업장,건물,"12,193",tCO₂eq,-,-,248,TJ,-,-,(주)한국경영인증원,-
25,국토교통부,(주)에스앤아이코퍼레이션,경기도,2020,사업장,건물,"14,399",tCO₂eq,-,-,290,TJ,-,-,(재)한국품질재단,-
26,국토교통부,(주)우리은행,서울특별시,2020,업체,건물,"78,455",tCO₂eq,0,tCO₂eq/억원,1147,TJ,0.004416394,TJ/억원,㈜디엔브이비즈니스어슈어런스코리아,"25,971,413,000,000"
27,국토교통부,(주)유성티엔에스,서울특별시,2020,사업장,교통,"36,018",tCO₂eq,-,-,518,TJ,-,-,(주)한국경영인증원,-
28,국토교통부,(주)유진로지스틱스,서울특별시,2020,사업장,교통,"28,979",tCO₂eq,-,-,412,TJ,-,-,(재)한국품질재단,-
29,국토교통부,(주)전북고속,전라북도,2020,사업장,교통,"15,540",tCO₂eq,-,-,220,TJ,-,-,(주)한국경영인증원,-
30,국토교통부,(주)제때,서울특별시,2020,사업장,교통,"17,499",tCO₂eq,-,-,276,TJ,-,-,한국표준협회,-
31,국토교통부,(주)중부고속,대전광역시,2020,사업장,교통,"7,604",tCO₂eq,-,-,112,TJ,-,-,㈜한국품질보증원,-
32,국토교통부,(주)중앙고속,경기도,2020,업체,교통,"40,790",tCO₂eq,62,tCO₂eq/억원,574,TJ,0.872671105,TJ/억원,(주)한국경영인증원,"65,775,066,539"
33,국토교통부,(주)천일고속,부산광역시,2020,사업장,교통,"19,302",tCO₂eq,-,-,274,TJ,-,-,(주)한국경영인증원,-
34,국토교통부,(주)충남고속,충청남도,2020,사업장,교통,"20,424",tCO₂eq,-,-,291,TJ,-,-,(주)한국경영인증원,-
35,국토교통부,(주)코리아와이드경북고속,대구광역시,2020,업체,교통,"18,640",tCO₂eq,66,tCO₂eq/억원,262,TJ,0.927388902,TJ/억원,(주)한국경영인증원,"28,251,362,435"
36,국토교통부,(주)코리아와이드포항,경상북도,2020,사업장,교통,"22,909",tCO₂eq,-,-,430,TJ,-,-,(주)한국경영인증원,-
37,국토교통부,(주)판토스,서울특별시,2020,사업장,교통,"43,990",tCO₂eq,-,-,676,TJ,-,-,㈜디엔브이비즈니스어슈어런스코리아,-
38,국토교통부,(주)평안운수,서울특별시,2020,사업장,교통,"14,542",tCO₂eq,-,-,245,TJ,-,-,산림조합중앙회,-
39,국토교통부,(주)한익스프레스,서울특별시,2020,사업장,교통,"25,961",tCO₂eq,-,-,408,TJ,-,-,한국표준협회,-
40,국토교통부,(주)한진,서울특별시,2020,업체,교통,"108,104",tCO₂eq,6,tCO₂eq/억원,1642,TJ,0.085159368,TJ/억원,한국표준협회,"1,928,149,579,763"
41,국토교통부,(주)호텔신라,서울특별시,2020,사업장,건물,"19,762",tCO₂eq,-,-,399,TJ,-,-,한국표준협회,-
42,국토교통부,(합)경남여객,경기도,2020,업체,교통,"42,977",tCO₂eq,61,tCO₂eq/억원,683,TJ,0.975786076,TJ/억원,한국표준협회,"69,994,850,000"
43,국토교통부,CJ대한통운(주),서울특별시,2020,업체,교통,"227,176",tCO₂eq,3,tCO₂eq/억원,3880,TJ,0.055939056,TJ/억원,(주)한국경영인증원,"6,936,119,891,060"
44,국토교통부,GS건설(주),서울특별시,2020,업체,건물,"108,677",tCO₂eq,1,tCO₂eq/억원,2023,TJ,0.022753366,TJ/억원,한국표준협회,"8,890,992,062,853"
45,국토교통부,강남금융센터(주),서울특별시,2020,사업장,건물,"16,755",tCO₂eq,-,-,341,TJ,-,-,한국표준협회,-
46,국토교통부,강변테크노마트 주식회사,서울특별시,2020,사업장,건물,"15,192",tCO₂eq,-,-,311,TJ,-,-,대일이엔씨기술(주),-
47,국토교통부,강원고속,강원도,2020,사업장,교통,"19,009",tCO₂eq,-,-,270,TJ,-,-,한국표준협회,-
48,국토교통부,강원대학교 춘천캠퍼스,강원도,2020,사업장,건물,"16,452",tCO₂eq,-,-,335,TJ,-,-,한국표준협회,-
49,국토교통부,강원여객자동차,강원도,2020,사업장,교통,"12,444",tCO₂eq,-,-,181,TJ,-,-,한국표준협회,-
50,국토교통부,경원여객자동차(주),경기도,2020,사업장,교통,"35,213",tCO₂eq,-,-,633,TJ,-,-,한국표준협회,-
51,국토교통부,경원여객자동차(주),경상남도,2020,사업장,교통,"17,922",tCO₂eq,-,-,253,TJ,-,-,(주)한국경영인증원,-
52,국토교통부,경전여객자동차(주),경상남도,2020,사업장,교통,"10,073",tCO₂eq,-,-,143,TJ,-,-,한국표준협회,-
53,국토교통부,경진여객운수(주),경기도,2020,사업장,교통,"22,942",tCO₂eq,-,-,377,TJ,-,-,(주)한국경영인증원,-
